# BRON:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 210:         4.419       52.165      -0.20  VALKENBURG
# 225:         4.575       52.463       4.40  IJMUIDEN
# 235:         4.785       52.924       0.50  DE KOOY
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur; 
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,    T,  T10,   TD,    P
# 
  210,20090101,    1,  -11,     ,  -11,10284
  210,20090101,    2,  -10,     ,  -10,10289
  210,20090101,    3,   -7,     ,   -7,10288
  210,20090101,    4,   -5,     ,   -5,10291
  210,20090101,    5,   -3,     ,   -4,10293
  210,20090101,    6,   -4,  -11,   -5,10294
  210,20090101,    7,   -6,     ,   -7,10298
  210,20090101,    8,   -6,     ,   -7,10301
  210,20090101,    9,   -3,     ,   -4,10305
  210,20090101,   10,   -2,     ,   -4,10310
  210,20090101,   11,    3,     ,   -1,10309
  210,20090101,   12,    3,   -8,   -2,10304
  210,20090101,   13,    5,     ,   -3,10301
  210,20090101,   14,    8,     ,   -3,10298
  210,20090101,   15,    9,     ,   -2,10297
  210,20090101,   16,    6,     ,   -4,10298
  210,20090101,   17,    9,     ,    0,10297
  210,20090101,   18,   12,    3,    3,10297
  210,20090101,   19,    8,     ,   -1,10295
  210,20090101,   20,   15,     ,    9,10294
  210,20090101,   21,   16,     ,    9,10290
  210,20090101,   22,   17,     ,   10,10289
  210,20090101,   23,   23,     ,   19,10286
  210,20090101,   24,   22,    5,   18,10280
  210,20090102,    1,   27,     ,   24,10276
  210,20090102,    2,   34,     ,   31,10277
  210,20090102,    3,   20,     ,   17,10274
  210,20090102,    4,   35,     ,   32,10273
  210,20090102,    5,   26,     ,   20,10271
  210,20090102,    6,   16,   10,   12,10272
  210,20090102,    7,   22,     ,   17,10274
  210,20090102,    8,   12,     ,    8,10277
  210,20090102,    9,   22,     ,   16,10283
  210,20090102,   10,   28,     ,   15,10288
  210,20090102,   11,   25,     ,   13,10293
  210,20090102,   12,   25,    6,    6,10297
  210,20090102,   13,   11,     ,  -11,10299
  210,20090102,   14,   10,     ,  -11,10302
  210,20090102,   15,    3,     ,  -16,10309
  210,20090102,   16,  -11,     ,  -24,10311
  210,20090102,   17,  -30,     ,  -37,10314
  210,20090102,   18,  -31,  -49,  -36,10318
  210,20090102,   19,  -41,     ,  -46,10322
  210,20090102,   20,  -44,     ,  -47,10326
  210,20090102,   21,  -40,     ,  -42,10326
  210,20090102,   22,  -47,     ,  -48,10323
  210,20090102,   23,  -57,     ,  -59,10322
  210,20090102,   24,  -51,  -94,  -52,10319
  210,20090103,    1,  -64,     ,  -66,10316
  210,20090103,    2,  -59,     ,  -60,10315
  210,20090103,    3,  -64,     ,  -66,10313
  210,20090103,    4,  -67,     ,  -69,10309
  210,20090103,    5,  -75,     ,  -78,10303
  210,20090103,    6,  -69, -104,  -71,10300
  210,20090103,    7,  -45,     ,  -46,10299
  210,20090103,    8,  -35,     ,  -36,10296
  210,20090103,    9,  -18,     ,  -19,10297
  210,20090103,   10,   -8,     ,  -10,10293
  210,20090103,   11,    6,     ,    3,10288
  210,20090103,   12,   14,  -79,    7,10283
  210,20090103,   13,   20,     ,   -4,10276
  210,20090103,   14,   17,     ,   -8,10271
  210,20090103,   15,   26,     ,  -10,10266
  210,20090103,   16,   31,     ,   -5,10263
  210,20090103,   17,   30,     ,    1,10261
  210,20090103,   18,   25,   11,    2,10257
  210,20090103,   19,   27,     ,   12,10253
  210,20090103,   20,   32,     ,   14,10250
  210,20090103,   21,   32,     ,   15,10248
  210,20090103,   22,   37,     ,    3,10245
  210,20090103,   23,   36,     ,   -5,10243
  210,20090103,   24,   35,   18,   -5,10238
  210,20090104,    1,   31,     ,   -7,10234
  210,20090104,    2,   26,     ,  -18,10233
  210,20090104,    3,   21,     ,  -21,10229
  210,20090104,    4,   22,     ,  -18,10222
  210,20090104,    5,   23,     ,  -12,10216
  210,20090104,    6,   26,   17,   -7,10212
  210,20090104,    7,   29,     ,    2,10208
  210,20090104,    8,   31,     ,    8,10205
  210,20090104,    9,   37,     ,   16,10204
  210,20090104,   10,   42,     ,   10,10201
  210,20090104,   11,   40,     ,   14,10196
  210,20090104,   12,   39,   22,   15,10191
  210,20090104,   13,   40,     ,   17,10186
  210,20090104,   14,   39,     ,   17,10181
  210,20090104,   15,   39,     ,   16,10176
  210,20090104,   16,   37,     ,   21,10174
  210,20090104,   17,   35,     ,   20,10171
  210,20090104,   18,   32,   27,   17,10167
  210,20090104,   19,   29,     ,   14,10165
  210,20090104,   20,   28,     ,   15,10161
  210,20090104,   21,   27,     ,   18,10156
  210,20090104,   22,   27,     ,   18,10151
  210,20090104,   23,   28,     ,   21,10146
  210,20090104,   24,   29,   24,   22,10140
  210,20090105,    1,   32,     ,   26,10128
  210,20090105,    2,   10,     ,    6,10134
  210,20090105,    3,   11,     ,    8,10142
  210,20090105,    4,    8,     ,    5,10151
  210,20090105,    5,    6,     ,   -1,10161
  210,20090105,    6,    4,    3,   -8,10169
  210,20090105,    7,    3,     ,  -11,10181
  210,20090105,    8,   -4,     ,  -23,10196
  210,20090105,    9,   -8,     ,  -32,10206
  210,20090105,   10,   -6,     ,  -36,10217
  210,20090105,   11,   -6,     ,  -41,10224
  210,20090105,   12,   -9,  -12,  -45,10228
  210,20090105,   13,  -11,     ,  -50,10233
  210,20090105,   14,  -12,     ,  -61,10235
  210,20090105,   15,  -17,     ,  -60,10240
  210,20090105,   16,  -24,     ,  -58,10247
  210,20090105,   17,  -17,     ,  -49,10255
  210,20090105,   18,  -10,  -31,  -57,10260
  210,20090105,   19,  -14,     ,  -60,10267
  210,20090105,   20,  -15,     ,  -58,10274
  210,20090105,   21,  -23,     ,  -59,10275
  210,20090105,   22,  -50,     ,  -75,10280
  210,20090105,   23,  -29,     ,  -52,10280
  210,20090105,   24,  -35,  -71,  -55,10279
  210,20090106,    1,  -42,     ,  -60,10277
  210,20090106,    2,  -42,     ,  -66,10279
  210,20090106,    3,  -45,     ,  -73,10282
  210,20090106,    4,  -47,     ,  -79,10280
  210,20090106,    5,  -53,     ,  -80,10281
  210,20090106,    6,  -62,  -81,  -88,10280
  210,20090106,    7,  -60,     ,  -87,10280
  210,20090106,    8,  -68,     ,  -93,10284
  210,20090106,    9,  -50,     ,  -82,10283
  210,20090106,   10,  -39,     ,  -83,10284
  210,20090106,   11,  -28,     ,  -83,10277
  210,20090106,   12,  -21,  -94,  -85,10273
  210,20090106,   13,  -16,     ,  -97,10266
  210,20090106,   14,  -14,     , -107,10260
  210,20090106,   15,  -23,     , -106,10259
  210,20090106,   16,  -50,     , -104,10258
  210,20090106,   17,  -54,     , -106,10256
  210,20090106,   18,  -64, -103,  -95,10254
  210,20090106,   19,  -74,     ,  -98,10250
  210,20090106,   20,  -76,     ,  -92,10246
  210,20090106,   21,  -78,     ,  -88,10245
  210,20090106,   22,  -77,     ,  -85,10240
  210,20090106,   23,  -50,     ,  -81,10234
  210,20090106,   24,  -32, -107,  -84,10227
  210,20090107,    1,  -28,     ,  -87,10222
  210,20090107,    2,  -24,     ,  -77,10223
  210,20090107,    3,  -18,     ,  -55,10219
  210,20090107,    4,  -12,     ,  -36,10213
  210,20090107,    5,    8,     ,  -15,10208
  210,20090107,    6,   11,  -37,    1,10206
  210,20090107,    7,   21,     ,   14,10206
  210,20090107,    8,   29,     ,   24,10209
  210,20090107,    9,   24,     ,   21,10213
  210,20090107,   10,   31,     ,   27,10218
  210,20090107,   11,   51,     ,   37,10222
  210,20090107,   12,   53,    9,   36,10221
  210,20090107,   13,   54,     ,   31,10222
  210,20090107,   14,   50,     ,   27,10224
  210,20090107,   15,   43,     ,   23,10231
  210,20090107,   16,   36,     ,   20,10237
  210,20090107,   17,   28,     ,   16,10244
  210,20090107,   18,   14,  -12,    5,10250
  210,20090107,   19,   14,     ,   12,10258
  210,20090107,   20,    6,     ,    0,10262
  210,20090107,   21,   -7,     ,  -11,10268
  210,20090107,   22,    6,     ,    2,10272
  210,20090107,   23,  -13,     ,  -16,10276
  210,20090107,   24,  -25,  -52,  -28,10281
  210,20090108,    1,  -39,     ,  -41,10284
  210,20090108,    2,  -35,     ,  -36,10290
  210,20090108,    3,  -43,     ,  -44,10291
  210,20090108,    4,  -47,     ,  -48,10292
  210,20090108,    5,  -51,     ,  -52,10293
  210,20090108,    6,  -50,  -83,  -51,10292
  210,20090108,    7,  -26,     ,  -28,10295
  210,20090108,    8,  -37,     ,  -39,10303
  210,20090108,    9,  -38,     ,  -40,10306
  210,20090108,   10,  -29,     ,  -29,10310
  210,20090108,   11,  -24,     ,  -24,10309
  210,20090108,   12,  -17,  -84,  -17,10306
  210,20090108,   13,  -15,     ,  -15,10303
  210,20090108,   14,  -11,     ,  -11,10302
  210,20090108,   15,  -19,     ,  -19,10303
  210,20090108,   16,  -27,     ,  -27,10302
  210,20090108,   17,  -32,     ,  -32,10303
  210,20090108,   18,  -36,  -33,  -36,10305
